# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
48	0.000000	0.000000
51	0.000000	0.000000
56	0.000000	0.000000
57	0.000000	0.000000
71	0.000000	0.000000
81	0.000000	0.000000
95	0.000000	0.000000
98	0.000000	0.000000
134	0.000000	0.000000
148	0.000000	0.000000
167	0.000000	0.000000
199	0.000000	0.000000
203	0.000000	0.000000
204	0.000000	0.000000
208	0.000000	0.000000
222	0.000000	0.000000
229	0.000000	0.000000
264	0.000000	0.000000
267	0.000000	0.000000
279	0.000000	0.000000
289	0.000000	0.000000
300	0.000000	0.000000
302	0.000000	0.000000
305	0.000000	0.000000
310	0.000000	0.000000
316	0.000000	0.000000
319	0.000000	0.000000
320	0.000000	0.000000
326	0.000000	0.000000
353	0.000000	0.000000
357	0.000000	0.000000
360	0.000000	0.000000
367	0.000000	0.000000
371	0.000000	0.000000
374	0.000000	0.000000
384	0.000000	0.000000
388	0.000000	0.000000
406	0.000000	0.000000
409	0.000000	0.000000
417	0.000000	0.000000
419	0.000000	0.000000
423	0.000000	0.000000
424	0.000000	0.000000
431	0.000000	0.000000
433	0.000000	0.000000
438	0.000000	0.000000
444	0.000000	0.000000
446	0.000000	0.000000
489	0.000000	0.000000
